İlan Numarası,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Tapu Durumu,Site İçerisinde,Banyo Sayısı,Fiyat Durumu,Ada,Parsel,Fiyat,Location,İlan linki,Eşya Durumu,Takas,Depozito,Balkon Durumu,Balkon Sayısı,Balkon Tipi,Aidat,WC Sayısı,Yapı Durumu,Yapı Tipi,Banyo Metrekare,Balkon Metrekare,Görüntülü Gezilebilir mi?,Enerji Kimlik Belgesi,Salon Metrekare,WC Metrekare
19422809,30 Mayıs 2026,Konut,Kiralık,Daire,110 m²,155 m²,3+1,3,2.Kat,5,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Hayır,1,Genel Fiyat,30734,3,28.000TL,Konya - Karatay ,https://www.emlakjet.com/ilan/karaca-dan-erenler-mahallesi-31-kiralik-ara-kat-daire-19422809,,,,,,,,,,,,,,,,
19422509,30 Mayıs 2026,Konut,Kiralık,Daire,130 m²,155 m²,3+1,21 Ve Üzeri,2.Kat,4,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,Genel Fiyat,,,18.000TL,Konya - Selçuklu ,https://www.emlakjet.com/ilan/isiklar-mah-yegenoglu-cad-31-kombili-kiralik-daire-19422509,Boş,Yok,,,,,,,,,,,,,,
19421287,29 Mayıs 2026,Konut,Kiralık,Daire,145 m²,165 m²,3+1,16-20,6.Kat,6,Merkezi Doğalgaz,Boş,Kat Mülkiyeti,Evet,2,Genel Fiyat,,,23.000TL,Konya - Karatay ,https://www.emlakjet.com/ilan/babi-emlaktan-kiralik-31-daire-site-ici-bakimli-19421287,Boş,Yok,,,,,,,,,,,,,,
19421112,29 Mayıs 2026,Konut,Kiralık,Daire,145 m²,180 m²,3+1,11-15,4.Kat,4,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,Genel Fiyat,,,25.000TL,Konya - Akşehir ,https://www.emlakjet.com/ilan/zirve-emlak-kiraliyorr-yarenler-31-180m2-4-kat-asansorlu-daire-19421112,Boş,Yok,,,,,,,,,,,,,,
19421074,29 Mayıs 2026,Konut,Kiralık,Daire,90 m²,100 m²,2+1,3,3.Kat,5,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,Genel Fiyat,,,24.000TL,Konya - Karatay ,https://www.emlakjet.com/ilan/kucukkum-kopru-cd-sehir-hastanesi-yakini-kiralik-21-daire-19421074,Boş,Yok,,,,,,,,,,,,,,
19419955,28 Mayıs 2026,Konut,Kiralık,Daire,110 m²,120 m²,3+1,16-20,5.Kat,9,Merkezi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,Genel Fiyat,,,25.000TL,Konya - Selçuklu ,https://www.emlakjet.com/ilan/ugur-emlak-tan-mesaj-cad-uzeri-kismi-esyali-31-kiralik-daire-19419955,Eşyalı,Yok,,,,,,,,,,,,,,
19419435,28 Mayıs 2026,Konut,Kiralık,Daire,110 m²,135 m²,2+1,1,4.Kat,5,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,Genel Fiyat,,,25.000TL,Konya - Selçuklu ,https://www.emlakjet.com/ilan/joy-gayrimenkul-den-kiralik-lux-daire-19419435,Boş,Yok,,,,,,,,,,,,,,
19418268,27 Mayıs 2026,Konut,Kiralık,Daire,180 m²,200 m²,4+1,5-10,8.Kat,16,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,2,Genel Fiyat,,,42.000TL,Konya - Selçuklu ,https://www.emlakjet.com/ilan/yenikent-prestij-konutlarinda-kiralik-bakimli-41-daire-19418268,Boş,Yok,,,,,,,,,,,,,,
19418254,27 Mayıs 2026,Konut,Kiralık,Daire,95 m²,125 m²,2+1,0 (Yeni),1.Kat,3,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,Genel Fiyat,,,25.000TL,Konya - Selçuklu ,https://www.emlakjet.com/ilan/ozel-anadolu-gelisim-okullari-civari-21-esyali-daire-19418254,Boş,Yok,,,,,,,,,,,,,,
19417775,27 Mayıs 2026,Konut,Kiralık,Daire,20 m²,40 m²,Stüdyo,0 (Yeni),Düz Giriş (Zemin),4,Yerden Isıtma,Boş,Kat Mülkiyeti,Evet,1,Genel Fiyat,,,20.000TL,Konya - Karatay ,https://www.emlakjet.com/ilan/sehir-hastanesi-yakini-esyali-kiralik-studyo-daire-0-yas-19417775,Eşyalı,Yok,,,,,,,,,,,,,,
